epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9115.37,1.61798,1.5647,1.56932,0.6649,0.55004,0.6145,0.33536,1.74837,1.61714,1.68002,0.000900844,0.000900844,0.000900844
43,9331.23,1.60986,1.54904,1.58346,0.72286,0.55047,0.63745,0.33863,1.76191,1.60462,1.69126,0.000896127,0.000896127,0.000896127
44,9549.86,1.59978,1.55714,1.55789,0.6999,0.55344,0.62996,0.34778,1.73653,1.60971,1.67671,0.000891313,0.000891313,0.000891313
45,9765.72,1.61586,1.55989,1.58024,0.66591,0.57209,0.62666,0.33768,1.78227,1.61175,1.69741,0.000886404,0.000886404,0.000886404
46,9976.76,1.60441,1.5337,1.58448,0.67858,0.56658,0.64689,0.34291,1.78767,1.58897,1.7183,0.000881401,0.000881401,0.000881401
47,10187.7,1.58749,1.4882,1.57302,0.67454,0.59067,0.65424,0.35393,1.73627,1.54658,1.67381,0.000876305,0.000876305,0.000876305
48,10393.5,1.60479,1.54358,1.584,0.66265,0.57464,0.63352,0.35619,1.74421,1.5854,1.6801,0.000871117,0.000871117,0.000871117
49,10599.2,1.61525,1.53605,1.57132,0.69603,0.55344,0.63674,0.36014,1.71341,1.57417,1.66931,0.000865839,0.000865839,0.000865839
50,10803.8,1.60192,1.5237,1.56591,0.67336,0.59669,0.66046,0.37229,1.71643,1.50181,1.65091,0.000860473,0.000860473,0.000860473
51,11009.2,1.61373,1.52269,1.58683,0.70473,0.58906,0.67095,0.36623,1.74893,1.51577,1.67378,0.000855018,0.000855018,0.000855018
52,11219.9,1.5763,1.49822,1.55364,0.68495,0.59796,0.67286,0.37715,1.7284,1.45626,1.68332,0.000849477,0.000849477,0.000849477
53,11425.4,1.58815,1.4933,1.5645,0.67515,0.59796,0.66271,0.37546,1.70173,1.50059,1.65721,0.000843851,0.000843851,0.000843851
54,11632,1.57633,1.49125,1.55808,0.6823,0.59627,0.65589,0.3633,1.72173,1.50628,1.64139,0.000838141,0.000838141,0.000838141
55,11834.7,1.56256,1.4519,1.55077,0.6946,0.59704,0.66178,0.37343,1.71269,1.48294,1.6526,0.000832349,0.000832349,0.000832349
56,12037.9,1.5656,1.4673,1.55183,0.70376,0.56955,0.65406,0.36776,1.74086,1.52996,1.6821,0.000826477,0.000826477,0.000826477
57,12238,1.60126,1.49008,1.57414,0.70674,0.60602,0.67281,0.37961,1.71739,1.45453,1.64433,0.000820525,0.000820525,0.000820525
58,12438.3,1.55286,1.44672,1.53837,0.72054,0.58391,0.67364,0.38466,1.70359,1.45656,1.6408,0.000814495,0.000814495,0.000814495
59,12640.7,1.58077,1.48254,1.54403,0.69526,0.61238,0.68218,0.3858,1.69242,1.43863,1.63777,0.000808389,0.000808389,0.000808389
60,12843.1,1.55522,1.43814,1.53753,0.70917,0.59669,0.67772,0.38504,1.68765,1.44099,1.64167,0.000802208,0.000802208,0.000802208
61,13042.3,1.60679,1.47816,1.56358,0.70721,0.60335,0.6825,0.39022,1.69034,1.44544,1.63224,0.000795954,0.000795954,0.000795954
62,13244.7,1.57519,1.44896,1.54768,0.72688,0.59367,0.68568,0.38827,1.69118,1.40911,1.65087,0.000789628,0.000789628,0.000789628
63,13449.8,1.55119,1.42372,1.5391,0.68541,0.59754,0.6676,0.37425,1.716,1.4552,1.64788,0.000783231,0.000783231,0.000783231
64,13654,1.56565,1.44866,1.55579,0.68882,0.61395,0.68575,0.38505,1.70397,1.41372,1.64629,0.000776766,0.000776766,0.000776766
65,13856.3,1.56839,1.42737,1.53976,0.70596,0.62129,0.70107,0.39599,1.69461,1.37027,1.63297,0.000770234,0.000770234,0.000770234
66,14060,1.56459,1.41917,1.53766,0.696,0.64334,0.702,0.40034,1.69233,1.36764,1.62559,0.000763637,0.000763637,0.000763637
67,14265.3,1.56103,1.42784,1.5197,0.69228,0.63066,0.69674,0.40165,1.66675,1.39513,1.61142,0.000756976,0.000756976,0.000756976
68,14468.4,1.55311,1.41513,1.54064,0.71533,0.62299,0.69491,0.40028,1.67394,1.37525,1.62197,0.000750252,0.000750252,0.000750252
69,14674.1,1.54423,1.37982,1.5148,0.67395,0.64605,0.69352,0.40018,1.6611,1.36491,1.61517,0.000743468,0.000743468,0.000743468
70,14880.8,1.54084,1.39047,1.52288,0.70885,0.63401,0.69761,0.39888,1.67765,1.38242,1.62661,0.000736625,0.000736625,0.000736625
71,15086.5,1.53748,1.41544,1.52462,0.71986,0.61154,0.69183,0.39741,1.67242,1.39178,1.61644,0.000729725,0.000729725,0.000729725
72,15293,1.5318,1.36945,1.50505,0.69682,0.62673,0.68923,0.39505,1.66111,1.3713,1.60248,0.00072277,0.00072277,0.00072277
73,15497,1.53571,1.4088,1.51589,0.7074,0.62638,0.69302,0.39763,1.67894,1.37559,1.61742,0.000715761,0.000715761,0.000715761
74,15701.7,1.52862,1.38332,1.49574,0.67927,0.65117,0.69785,0.40238,1.66793,1.3615,1.61223,0.0007087,0.0007087,0.0007087
75,15903.2,1.53703,1.38642,1.5163,0.71616,0.62638,0.70043,0.40341,1.67419,1.36322,1.60852,0.000701588,0.000701588,0.000701588
76,16108.9,1.5167,1.35036,1.5023,0.71641,0.61386,0.70046,0.40185,1.66692,1.34686,1.6053,0.000694428,0.000694428,0.000694428
77,16313.5,1.53742,1.40608,1.53097,0.72773,0.62683,0.70327,0.40283,1.69161,1.33887,1.63162,0.000687222,0.000687222,0.000687222
78,16517.5,1.5499,1.38914,1.52301,0.73179,0.62021,0.70199,0.40539,1.66142,1.34908,1.60847,0.00067997,0.00067997,0.00067997
79,16726,1.52612,1.35791,1.50808,0.72058,0.62299,0.70324,0.40699,1.67829,1.33646,1.61038,0.000672675,0.000672675,0.000672675
80,16931.3,1.5172,1.32688,1.49037,0.71981,0.63954,0.70677,0.40781,1.67192,1.32211,1.59993,0.000665339,0.000665339,0.000665339
81,17129.8,1.50368,1.34205,1.49003,0.72476,0.61866,0.70489,0.40768,1.66889,1.34637,1.61309,0.000657963,0.000657963,0.000657963
82,17328.4,1.50682,1.35329,1.48529,0.71807,0.62765,0.70511,0.41058,1.65744,1.33,1.59878,0.00065055,0.00065055,0.00065055
