epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7788.95,1.92234,1.86489,1.53802,0.57124,0.48248,0.49476,0.21533,1.98892,1.7262,1.62775,0.000828443,0.000828443,0.000828443
43,7973.54,1.90343,1.81357,1.51854,0.58618,0.46759,0.49692,0.21703,1.98092,1.70163,1.60252,0.000820525,0.000820525,0.000820525
44,8157.34,1.91869,1.83878,1.51867,0.5588,0.4751,0.48762,0.21257,1.99511,1.7443,1.64186,0.000812468,0.000812468,0.000812468
45,8341.6,1.93585,1.82407,1.51441,0.58209,0.45866,0.48004,0.20985,1.97097,1.75418,1.61025,0.000804277,0.000804277,0.000804277
46,8525.2,1.907,1.81436,1.51394,0.56498,0.48055,0.50147,0.21665,1.98525,1.72819,1.64788,0.000795954,0.000795954,0.000795954
47,8708.53,1.90665,1.81574,1.5053,0.56075,0.47018,0.49894,0.22032,1.97048,1.70526,1.60594,0.000787503,0.000787503,0.000787503
48,8892.4,1.94085,1.83955,1.52853,0.60352,0.45257,0.48935,0.21138,1.9747,1.75688,1.58625,0.000778929,0.000778929,0.000778929
49,9076.26,1.89339,1.82842,1.503,0.60617,0.46427,0.50244,0.22053,1.95588,1.728,1.59276,0.000770234,0.000770234,0.000770234
50,9260,1.89338,1.77368,1.49632,0.58979,0.4771,0.50488,0.22092,1.95115,1.71362,1.57707,0.000761423,0.000761423,0.000761423
51,9443.74,1.88085,1.77577,1.49741,0.5692,0.49697,0.50159,0.22282,1.95285,1.71095,1.59807,0.0007525,0.0007525,0.0007525
52,9627.5,1.90746,1.797,1.50547,0.5729,0.49737,0.50495,0.22176,1.94661,1.67869,1.59431,0.000743468,0.000743468,0.000743468
53,9811.34,1.90289,1.79682,1.51527,0.58663,0.4892,0.52516,0.23285,1.92968,1.65919,1.58331,0.000734332,0.000734332,0.000734332
54,9995.26,1.89606,1.77649,1.49023,0.56045,0.49006,0.50894,0.22392,1.93683,1.68905,1.58926,0.000725094,0.000725094,0.000725094
55,10178.7,1.88884,1.75952,1.49771,0.59738,0.46067,0.50457,0.23044,1.94978,1.66326,1.57575,0.000715761,0.000715761,0.000715761
56,10362.1,1.88196,1.76793,1.50426,0.617,0.49957,0.53277,0.2269,1.9976,1.67071,1.62341,0.000706335,0.000706335,0.000706335
57,10545.8,1.8944,1.78349,1.49367,0.58487,0.49352,0.52286,0.23687,1.93101,1.65747,1.5782,0.00069682,0.00069682,0.00069682
