epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2803.7,1.38395,1.34829,0.00956,0.72927,0.65757,0.74524,0.46466,1.37759,1.22617,0.01404,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469,0.00273441,0.000911469
31,2894.65,1.37264,1.32272,0.00982,0.72486,0.65039,0.73131,0.44041,1.47863,1.24707,0.01509,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463,0.00271639,0.000905463
32,2986.25,1.38802,1.34653,0.00946,0.74669,0.65177,0.7346,0.44956,1.42496,1.2548,0.01442,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282,0.00269785,0.000899282
33,3078.01,1.36849,1.30894,0.0097,0.73571,0.64322,0.73082,0.4562,1.39734,1.25124,0.01424,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928,0.00267878,0.000892928
34,3169.33,1.3825,1.31903,0.00954,0.72074,0.66515,0.73826,0.45552,1.40052,1.19351,0.0141,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404,0.00265921,0.000886404
35,3261.29,1.39661,1.30451,0.00985,0.73201,0.67121,0.73726,0.45815,1.39849,1.21712,0.01397,0.00263914,0.000879713,0.00263914,0.000879713,0.00263914,0.000879713,0.00263914,0.000879713
36,3351.86,1.37072,1.27175,0.00945,0.72186,0.67839,0.75217,0.47664,1.37772,1.16666,0.01359,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857,0.00261857,0.000872857
37,3442.24,1.37404,1.26835,0.00965,0.72285,0.68629,0.75944,0.47147,1.40016,1.13702,0.01394,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839,0.00259752,0.000865839
38,3532.66,1.37185,1.28527,0.00919,0.69776,0.69938,0.75168,0.45861,1.43001,1.16563,0.01432,0.00257599,0.000858664,0.00257599,0.000858664,0.00257599,0.000858664,0.00257599,0.000858664
39,3622.45,1.3467,1.27698,0.0095,0.7356,0.66619,0.75094,0.45922,1.44113,1.15072,0.0143,0.002554,0.000851333,0.002554,0.000851333,0.002554,0.000851333,0.002554,0.000851333
40,3713.07,1.38186,1.29233,0.00962,0.76573,0.67121,0.76473,0.47005,1.42828,1.14242,0.01447,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851
41,3803.51,1.38253,1.27848,0.00913,0.70805,0.69849,0.75744,0.46628,1.41315,1.14089,0.01418,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
42,3892.47,1.36351,1.24777,0.00971,0.74554,0.67337,0.75824,0.47597,1.38258,1.16176,0.01366,0.00248533,0.000828443,0.00248533,0.000828443,0.00248533,0.000828443,0.00248533,0.000828443
43,3982.72,1.361,1.25531,0.00957,0.75341,0.66676,0.74785,0.46316,1.44023,1.14292,0.01448,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525
44,4073.11,1.35842,1.2405,0.00947,0.73871,0.66045,0.74449,0.45752,1.4164,1.17649,0.01431,0.0024374,0.000812468,0.0024374,0.000812468,0.0024374,0.000812468,0.0024374,0.000812468
45,4162.41,1.35255,1.23266,0.00956,0.77977,0.64896,0.75755,0.46957,1.40875,1.11462,0.01375,0.00241283,0.000804277,0.00241283,0.000804277,0.00241283,0.000804277,0.00241283,0.000804277
46,4252.32,1.35671,1.23155,0.00928,0.75702,0.67322,0.76096,0.47295,1.41291,1.13713,0.01411,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954,0.00238786,0.000795954
47,4341.98,1.34592,1.24759,0.00981,0.71872,0.68916,0.75369,0.47367,1.36726,1.14689,0.01416,0.00236251,0.000787503,0.00236251,0.000787503,0.00236251,0.000787503,0.00236251,0.000787503
48,4432.18,1.34147,1.19334,0.00915,0.73344,0.6827,0.75131,0.46297,1.38594,1.17214,0.01385,0.00233679,0.000778929,0.00233679,0.000778929,0.00233679,0.000778929,0.00233679,0.000778929
49,4522.87,1.33938,1.21545,0.00942,0.77015,0.65426,0.75756,0.47806,1.36946,1.11516,0.01354,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234,0.0023107,0.000770234
50,4613.24,1.35224,1.20508,0.00885,0.74069,0.6949,0.76696,0.47448,1.40912,1.10992,0.01394,0.00228427,0.000761423,0.00228427,0.000761423,0.00228427,0.000761423,0.00228427,0.000761423
51,4703.29,1.33062,1.19964,0.00929,0.73099,0.68844,0.75259,0.48026,1.33761,1.13338,0.01315,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
52,4793.07,1.34077,1.19457,0.00886,0.75625,0.66332,0.75161,0.46869,1.41425,1.13435,0.0141,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468,0.0022304,0.000743468
53,4883.91,1.33336,1.20934,0.00928,0.7333,0.71651,0.77193,0.48724,1.3716,1.08134,0.01346,0.00220299,0.000734332,0.00220299,0.000734332,0.00220299,0.000734332,0.00220299,0.000734332
54,4973.66,1.33721,1.18349,0.0095,0.76594,0.67696,0.76117,0.47857,1.38446,1.10135,0.01385,0.00217528,0.000725094,0.00217528,0.000725094,0.00217528,0.000725094,0.00217528,0.000725094
55,5064.31,1.34571,1.17195,0.00879,0.74344,0.67911,0.75931,0.49117,1.34201,1.12544,0.0134,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761,0.00214728,0.000715761
56,5154.33,1.31735,1.13419,0.00885,0.77375,0.68413,0.77092,0.49139,1.36413,1.0914,0.01341,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335,0.002119,0.000706335
57,5244.14,1.32341,1.15539,0.00963,0.79073,0.66762,0.7715,0.49585,1.35847,1.07147,0.01356,0.00209046,0.00069682,0.00209046,0.00069682,0.00209046,0.00069682,0.00209046,0.00069682
58,5333.85,1.33025,1.15818,0.00913,0.76026,0.67841,0.76738,0.47605,1.41512,1.09433,0.01425,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222,0.00206166,0.000687222
59,5423.74,1.31549,1.1257,0.00893,0.77714,0.68342,0.77976,0.49655,1.37262,1.07178,0.01352,0.00203263,0.000677543,0.00203263,0.000677543,0.00203263,0.000677543,0.00203263,0.000677543
60,5513.15,1.29732,1.12157,0.00919,0.73216,0.68916,0.76652,0.49427,1.32689,1.08529,0.01312,0.00200337,0.000667789,0.00200337,0.000667789,0.00200337,0.000667789,0.00200337,0.000667789
61,5603.27,1.3244,1.13587,0.00872,0.77106,0.69777,0.78481,0.50132,1.37054,1.05521,0.01381,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963,0.00197389,0.000657963
62,5692.91,1.30669,1.11387,0.00919,0.75313,0.69645,0.7685,0.49013,1.35197,1.10666,0.01344,0.00194421,0.000648071,0.00194421,0.000648071,0.00194421,0.000648071,0.00194421,0.000648071
63,5783.23,1.31048,1.11294,0.00883,0.76824,0.68295,0.76314,0.47869,1.38024,1.12103,0.01359,0.00191435,0.000638115,0.00191435,0.000638115,0.00191435,0.000638115,0.00191435,0.000638115
64,5873.36,1.32898,1.14482,0.0091,0.79661,0.66635,0.77149,0.49466,1.35176,1.09897,0.01338,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101,0.0018843,0.000628101
65,5964.47,1.32801,1.15167,0.00865,0.75568,0.69562,0.7704,0.48461,1.38575,1.086,0.01358,0.0018541,0.000618034,0.0018541,0.000618034,0.0018541,0.000618034,0.0018541,0.000618034
66,6054.06,1.3339,1.13685,0.00877,0.77681,0.68916,0.76831,0.50075,1.32579,1.09906,0.01305,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916,0.00182375,0.000607916
67,6144.08,1.31539,1.1101,0.00837,0.76042,0.68557,0.76817,0.49229,1.36748,1.07977,0.01349,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754,0.00179326,0.000597754
68,6233.59,1.31667,1.12845,0.00905,0.74447,0.69562,0.77286,0.49527,1.35136,1.08601,0.01341,0.00176265,0.000587551,0.00176265,0.000587551,0.00176265,0.000587551,0.00176265,0.000587551
69,6323.08,1.29095,1.11526,0.00867,0.74234,0.69908,0.76853,0.49531,1.36022,1.06469,0.01335,0.00173193,0.000577311,0.00173193,0.000577311,0.00173193,0.000577311,0.00173193,0.000577311
70,6412.3,1.30119,1.09917,0.00886,0.74391,0.68629,0.76799,0.50267,1.34984,1.06294,0.0133,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704,0.00170112,0.00056704
71,6501.77,1.29963,1.11421,0.00919,0.73837,0.7107,0.77081,0.50071,1.33808,1.05643,0.01317,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742,0.00167022,0.000556742
72,6591.68,1.29656,1.09113,0.00873,0.7368,0.70424,0.77496,0.50358,1.31675,1.07626,0.01285,0.00163926,0.000546421,0.00163926,0.000546421,0.00163926,0.000546421,0.00163926,0.000546421
73,6682.13,1.30285,1.08082,0.00847,0.74802,0.69777,0.77066,0.5009,1.35566,1.07529,0.01334,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081,0.00160824,0.000536081
74,6771.76,1.30315,1.08544,0.00863,0.78204,0.68773,0.77819,0.49664,1.37436,1.05719,0.01324,0.00157719,0.000525728,0.00157719,0.000525728,0.00157719,0.000525728,0.00157719,0.000525728
75,6861.99,1.31772,1.10212,0.00872,0.77678,0.69347,0.78546,0.49864,1.3659,1.04263,0.01354,0.0015461,0.000515366,0.0015461,0.000515366,0.0015461,0.000515366,0.0015461,0.000515366
76,6951.28,1.31574,1.11797,0.00906,0.7596,0.68916,0.77893,0.4992,1.35766,1.05319,0.01324,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
77,7041.04,1.27714,1.05628,0.00859,0.76189,0.68629,0.76815,0.49449,1.34866,1.07256,0.01318,0.0014839,0.000494634,0.0014839,0.000494634,0.0014839,0.000494634,0.0014839,0.000494634
78,7130.82,1.29506,1.08886,0.00891,0.77362,0.67711,0.7702,0.49683,1.36147,1.04916,0.01333,0.00145281,0.000484272,0.00145281,0.000484272,0.00145281,0.000484272,0.00145281,0.000484272
79,7219.96,1.27542,1.06395,0.00872,0.75184,0.69706,0.77717,0.50021,1.3373,1.03722,0.01298,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919,0.00142176,0.000473919
80,7310.17,1.28974,1.06541,0.0088,0.76856,0.68894,0.77427,0.50232,1.32364,1.04729,0.01293,0.00139074,0.000463579,0.00139074,0.000463579,0.00139074,0.000463579,0.00139074,0.000463579
81,7400.19,1.27225,1.04259,0.00854,0.74637,0.70208,0.7785,0.50083,1.35654,1.0397,0.01331,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258
82,7490,1.30624,1.09535,0.00899,0.75713,0.68257,0.76426,0.49637,1.34864,1.04792,0.01332,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296,0.00132888,0.00044296
83,7579.52,1.28365,1.06396,0.00851,0.78492,0.67121,0.77771,0.50197,1.35744,1.01165,0.01319,0.00129807,0.000432689,0.00129807,0.000432689,0.00129807,0.000432689,0.00129807,0.000432689
84,7669.19,1.2886,1.07697,0.00833,0.76274,0.70424,0.77895,0.50701,1.33451,1.02441,0.01314,0.00126735,0.000422449,0.00126735,0.000422449,0.00126735,0.000422449,0.00126735,0.000422449
85,7758.76,1.27968,1.07743,0.00894,0.76616,0.68055,0.7755,0.50045,1.32387,1.05793,0.01293,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246,0.00123674,0.000412246
86,7848.25,1.27525,1.06065,0.00896,0.81743,0.65686,0.78248,0.50932,1.32889,1.0351,0.01298,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084
87,7937.83,1.26923,1.05213,0.00881,0.78984,0.6772,0.77971,0.50481,1.32989,1.03652,0.01283,0.0011759,0.000391966,0.0011759,0.000391966,0.0011759,0.000391966,0.0011759,0.000391966
88,8027.05,1.26247,1.03004,0.00848,0.76131,0.69993,0.77784,0.50761,1.33651,1.0315,0.01302,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899,0.0011457,0.000381899
89,8117.38,1.27822,1.02714,0.00843,0.78399,0.67408,0.77991,0.50582,1.34513,1.03417,0.01305,0.00111565,0.000371885,0.00111565,0.000371885,0.00111565,0.000371885,0.00111565,0.000371885
90,8206.93,1.29401,1.05674,0.00916,0.77784,0.69706,0.7808,0.50235,1.33934,1.04004,0.01296,0.00108579,0.000361929,0.00108579,0.000361929,0.00108579,0.000361929,0.00108579,0.000361929
91,8296.79,1.28469,1.02854,0.00852,0.77896,0.6906,0.77846,0.50732,1.34615,1.03477,0.01304,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037,0.00105611,0.000352037
92,8386.31,1.29157,1.05374,0.0087,0.78903,0.69003,0.78026,0.50657,1.33118,1.03412,0.01294,0.00102663,0.000342211,0.00102663,0.000342211,0.00102663,0.000342211,0.00102663,0.000342211
93,8476.18,1.26953,1.05291,0.00859,0.7861,0.67337,0.77598,0.50457,1.34262,1.04312,0.01308,0.000997371,0.000332457,0.000997371,0.000332457,0.000997371,0.000332457,0.000997371,0.000332457
94,8565.3,1.27627,1.02053,0.00863,0.77287,0.67911,0.77546,0.50383,1.35282,1.04304,0.0134,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778,0.000968335,0.000322778
95,8654.97,1.26771,1.00268,0.00848,0.75533,0.70065,0.77794,0.50693,1.33243,1.03505,0.01299,0.000939539,0.00031318,0.000939539,0.00031318,0.000939539,0.00031318,0.000939539,0.00031318
96,8745.19,1.26544,1.02792,0.00842,0.73692,0.7199,0.7741,0.50707,1.34665,1.03465,0.01309,0.000910996,0.000303665,0.000910996,0.000303665,0.000910996,0.000303665,0.000910996,0.000303665
97,8835.18,1.27512,1.04481,0.00882,0.76774,0.69765,0.77405,0.50589,1.35399,1.03308,0.01319,0.000882718,0.000294239,0.000882718,0.000294239,0.000882718,0.000294239,0.000882718,0.000294239
98,8924.51,1.25483,1.00155,0.00825,0.76878,0.68701,0.77476,0.50463,1.35101,1.03948,0.01318,0.000854717,0.000284906,0.000854717,0.000284906,0.000854717,0.000284906,0.000854717,0.000284906
99,9014.51,1.26249,1.01889,0.00844,0.79583,0.67983,0.77893,0.50932,1.34775,1.04198,0.01302,0.000827005,0.000275668,0.000827005,0.000275668,0.000827005,0.000275668,0.000827005,0.000275668
100,9105.46,1.2918,1.04031,0.00871,0.7577,0.71141,0.78499,0.51293,1.3627,1.01249,0.01339,0.000799596,0.000266532,0.000799596,0.000266532,0.000799596,0.000266532,0.000799596,0.000266532
101,9194.69,1.24912,0.99105,0.00846,0.75941,0.71213,0.78131,0.51131,1.31862,1.05504,0.01291,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
102,9284.19,1.26937,0.99607,0.0081,0.74616,0.71325,0.77819,0.5092,1.32508,1.04246,0.01299,0.00074573,0.000248577,0.00074573,0.000248577,0.00074573,0.000248577,0.00074573,0.000248577
103,9374.32,1.25908,1.02525,0.00841,0.80647,0.67911,0.78357,0.51336,1.32124,1.02248,0.01282,0.000719297,0.000239766,0.000719297,0.000239766,0.000719297,0.000239766,0.000719297,0.000239766
104,9464.2,1.26607,1.01886,0.00868,0.77993,0.69275,0.7824,0.51313,1.32116,1.01454,0.01281,0.000693214,0.000231071,0.000693214,0.000231071,0.000693214,0.000231071,0.000693214,0.000231071
105,9553.79,1.27745,1.0642,0.0089,0.77308,0.69706,0.78365,0.51275,1.32872,1.01081,0.01288,0.00066749,0.000222497,0.00066749,0.000222497,0.00066749,0.000222497,0.00066749,0.000222497
106,9643.46,1.25253,0.99298,0.00793,0.77251,0.69131,0.78288,0.51537,1.31886,1.04198,0.01268,0.000642139,0.000214046,0.000642139,0.000214046,0.000642139,0.000214046,0.000642139,0.000214046
107,9733.95,1.28328,1.04578,0.00859,0.78091,0.6832,0.78135,0.51066,1.32563,1.03361,0.0128,0.00061717,0.000205723,0.00061717,0.000205723,0.00061717,0.000205723,0.00061717,0.000205723
