epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3040.51,1.3619,1.16386,1.44429,0.73319,0.69043,0.75669,0.4522,1.46755,1.18869,1.51323,0.000828443,0.000828443,0.000828443
43,3114.15,1.36516,1.19723,1.44216,0.74305,0.70208,0.77445,0.46828,1.39996,1.15846,1.46564,0.000820525,0.000820525,0.000820525
44,3187.82,1.35388,1.17898,1.43284,0.74733,0.64609,0.71482,0.41398,1.48851,1.26199,1.50848,0.000812468,0.000812468,0.000812468
45,3260.75,1.36349,1.19426,1.44459,0.70366,0.63582,0.71248,0.42126,1.46194,1.24684,1.50562,0.000804277,0.000804277,0.000804277
46,3333.82,1.36556,1.16732,1.43744,0.75637,0.68643,0.77413,0.45226,1.46412,1.1593,1.49617,0.000795954,0.000795954,0.000795954
47,3407.22,1.34433,1.18695,1.43858,0.74219,0.6882,0.75428,0.46155,1.39426,1.18588,1.45204,0.000787503,0.000787503,0.000787503
48,3480.48,1.33388,1.13967,1.41355,0.73789,0.67702,0.7512,0.4586,1.40412,1.21104,1.4579,0.000778929,0.000778929,0.000778929
49,3553.34,1.33637,1.15525,1.41892,0.75323,0.67552,0.76061,0.46821,1.3769,1.13525,1.44401,0.000770234,0.000770234,0.000770234
50,3627.12,1.332,1.14609,1.39365,0.75776,0.67552,0.76028,0.45842,1.43341,1.15667,1.46076,0.000761423,0.000761423,0.000761423
51,3700.29,1.32539,1.14416,1.4107,0.73344,0.70208,0.76825,0.46578,1.37716,1.10771,1.44866,0.0007525,0.0007525,0.0007525
52,3773.48,1.33102,1.13219,1.40051,0.76384,0.67193,0.76424,0.46793,1.38322,1.10626,1.45407,0.000743468,0.000743468,0.000743468
53,3847,1.31843,1.11635,1.40776,0.76698,0.65925,0.75516,0.45718,1.3673,1.12461,1.45,0.000734332,0.000734332,0.000734332
54,3918.42,1.32909,1.13394,1.4129,0.74785,0.71429,0.77538,0.464,1.39569,1.1467,1.45897,0.000725094,0.000725094,0.000725094
55,3989.87,1.31909,1.10916,1.39232,0.74104,0.68055,0.76696,0.4672,1.35884,1.11543,1.44381,0.000715761,0.000715761,0.000715761
56,4059.65,1.30129,1.08341,1.38392,0.77025,0.64178,0.75477,0.45534,1.4192,1.16744,1.47159,0.000706335,0.000706335,0.000706335
57,4131.13,1.30988,1.09988,1.41755,0.75987,0.69131,0.76728,0.47291,1.35989,1.11544,1.42233,0.00069682,0.00069682,0.00069682
58,4201.94,1.30843,1.09656,1.39343,0.75677,0.70065,0.77062,0.47422,1.36531,1.11114,1.43761,0.000687222,0.000687222,0.000687222
59,4273.51,1.29005,1.07406,1.38196,0.77011,0.68055,0.78156,0.4749,1.41819,1.0765,1.45908,0.000677543,0.000677543,0.000677543
